month,wisman,wisnus,usd_idr_avg,tpk_bintang,tpk_non_bintang,tpk_change_mom,tpk_ma3,lama_menginap_bintang,lama_menginap_non_bintang,inflasi_processed,indonesia_total,bali_share_pct,avg_sentiment_monthly,pct_negative_monthly,pct_positive_monthly,pct_neutral_monthly,wisman_growth_mom,wisnus_growth_mom,wisman_growth_yoy,wisman_ma3,wisman_ma6,wisman_zscore,is_anomaly,usd_volatility_3m,usd_change_mom,month_num,is_peak_season,is_covid_period,bali_share_change,wisman_precovid_mean,wisman_lag_1,wisman_lag_3,tpk_lag_1,sentiment_lag_1,wisman_trend_3m,sentiment_trend_3m,usd_trend_3m,is_postcovid,wisman_recovery_pct,crisis_component_tourism,crisis_component_economy,crisis_component_sentiment,external_risk_avg,external_risk_max,external_risk_range,physical_risk_score,media_risk_score,tourist_perception_score,external_risk_score,crisis_score,crisis_score_100,crisis_level
2009-01,174541,264915.0,9275.357142857143,47.254,29.32,,,3.082,2.82,9.17,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.010737593761918962,,0.09668764827623111,,,,0,,,1,0,0,,501206.1666666667,,,,,,,,0,34.82,0.3788071185241625,0.20019211974827278,0.2885265071045953,0.3679444935440852,0.7864735500714863,0.7110768850058411,0.089348567062079,0.0753966650656452,0.6535163710243083,0.3679444935440852,0.32295278269221783,32.29527826922178,WASPADA
2009-02,147704,204419.0,9275.357142857143,44.21,24.35,-3.043999999999997,,3.422,2.55,8.6,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,-0.15375756985464728,-0.22836004001283428,0.09668764827623111,,,,0,,0.0,2,0,0,0.0,501206.1666666667,174541.0,,47.254,0.3105777373502177,,,,0,29.47,0.48861914150019303,0.21541211974827276,0.2885265071045953,0.3622665915050002,0.7386088145707714,0.6459071672572272,0.0927016473135443,0.0971967121585549,0.6295840032739508,0.3622665915050002,0.3750376126236147,37.503761262361465,WASPADA
2009-03,168205,255203.0,9275.357142857143,48.35,32.27,4.140000000000001,46.60466666666667,3.792,3.17,7.92,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.13879786600227484,0.24843091884805224,0.09668764827623111,163483.33333333334,,,0,0.0,0.0,3,0,0,0.0,501206.1666666667,147704.0,,44.21,0.3105777373502177,-3167.9999999999877,3.1971985790353577e-17,7.18995241055243e-13,0,33.56,0.2796791571179414,0.19471211974827277,0.2885265071045953,0.3954403340085983,0.7021818859949027,0.6651420948631598,0.0370397911317429,0.3219804669306175,0.6113705389860165,0.3954403340085983,0.28247436815232096,28.247436815232096,AMAN
2009-04,188776,247100.0,9275.357142857143,53.426,33.41,5.0760000000000005,48.662000000000006,3.614,2.92,7.31,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.12229719687286345,-0.03175119414740424,0.09668764827623111,168228.33333333334,,,0,0.0,0.0,4,0,0,0.0,501206.1666666667,168205.0,174541.0,48.35,0.3105777373502177,20536.000000000022,3.1971985790353577e-17,7.18995241055243e-13,0,37.66,0.291463759718462,0.16933211974827275,0.2885265071045953,0.3608030318544819,0.701311618076708,0.6749878088624789,0.0263238092142292,0.1950175081498602,0.6109354050269191,0.3608030318544819,0.274504978891732,27.4504978891732,AMAN
2009-05,190803,289635.0,9275.357142857143,55.382000000000005,33.74,1.956000000000003,52.386,3.9,2.42,6.04,6323730.0,37.72,-0.6684309840202332,100.0,0.0,0.0,0.010737593761918962,0.17213678672602195,0.09668764827623111,182594.66666666666,,,0,0.0,0.0,5,0,0,0.0,501206.1666666667,188776.0,147704.0,53.426,0.3105777373502177,11299.000000000031,-0.48950436068522557,7.18995241055243e-13,0,38.07,0.37113844312817523,0.15955211974827274,0.9336861968040466,0.3114155857575133,0.6519549947162306,0.6182548081234756,0.0337001865927551,0.0394479697439374,0.5862570933466804,0.3114155857575133,0.36255206617665436,36.255206617665436,WASPADA
2009-06,200566,304213.0,9275.357142857143,57.374,32.62,1.9919999999999973,55.394000000000005,3.612,2.38,3.65,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.051167958575074834,0.05033231481001943,0.09668764827623111,193381.66666666666,178432.5,,0,0.0,0.0,6,0,0,0.0,501206.1666666667,190803.0,168205.0,55.382000000000005,-0.6684309840202332,5895.000000000021,8.761323701127214e-17,7.18995241055243e-13,0,40.02,0.34226350608287315,0.14959211974827274,0.2885265071045953,0.3063996633264906,0.608068626841549,0.586982681825354,0.0210859450161951,0.0758848894710881,0.5643139094093397,0.3063996633264906,0.2815491910501188,28.154919105011878,AMAN
2009-07,235198,340610.0,9275.357142857143,57.52,36.66,0.1460000000000008,56.75866666666667,3.736,2.54,2.71,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.17267134010749574,0.11964314477027616,0.09668764827623111,208855.66666666666,188542.0,,0,0.0,0.0,7,1,0,0.0,501206.1666666667,200566.0,188776.0,57.374,0.3105777373502177,22197.500000000015,0.48950436068522535,7.18995241055243e-13,0,46.93,0.25548708176037116,0.14886211974827276,0.2885265071045953,0.3101331519719434,0.5900416485360851,0.5541414414279422,0.0359002071081429,0.0940315602664158,0.5553004202566076,0.3101331519719434,0.24306399783408345,24.306399783408345,AMAN
2009-08,232255,280972.0,9275.357142857143,64.154,40.85,6.633999999999993,59.68266666666667,3.82,2.76,2.75,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,-0.012512861503924388,-0.17509174715950793,0.09668764827623111,222673.0,202633.83333333334,,0,0.0,0.0,8,1,0,0.0,501206.1666666667,235198.0,190803.0,57.52,0.3105777373502177,15844.500000000011,3.1971985790353577e-17,7.18995241055243e-13,0,46.34,0.38774367128227244,0.13646211974827277,0.2885265071045953,0.3175073532532317,0.6355442282588426,0.6052443069287384,0.0302999213301042,0.0836260714468498,0.5780517101179864,0.3175073532532317,0.3009543033751967,30.09543033751967,WASPADA
2009-09,218443,352257.0,9275.357142857143,61.96,36.56,-2.1939999999999955,61.211333333333336,4.081999999999999,2.57,2.83,6323730.0,37.72,0.0,0.0,0.0,100.0,-0.05946911799530685,0.2537085545890694,0.09668764827623111,228632.0,211006.83333333334,,0,0.0,0.0,9,0,0,0.0,501206.1666666667,232255.0,200566.0,64.154,0.3105777373502177,-8377.499999999978,-0.1552888686751089,7.18995241055243e-13,0,43.58,0.4212793308376009,0.13646211974827277,0.2,0.3427499859112988,0.7006899981351402,0.6542954013413789,0.0463945967937614,0.1033561567391636,0.6106245950561352,0.3427499859112988,0.3122412259962484,31.224122599624838,WASPADA
2009-10,221282,330337.0,9275.357142857143,59.21999999999999,32.28,-2.740000000000009,61.778,3.9099999999999993,2.68,2.57,6323730.0,37.72,0.4701136350631714,0.0,100.0,0.0,0.01299652540937446,-0.06222729427662188,0.09668764827623111,223993.33333333334,216424.5,,0,0.0,0.0,10,0,0,0.0,501206.1666666667,218443.0,235198.0,61.96,0.0,-5486.499999999965,0.07976794885647692,7.18995241055243e-13,0,44.15,0.36952513814289106,0.1403621197482728,0.10597727298736573,0.3187333371203899,0.6972710884565176,0.6780748959461476,0.0379068755375418,0.0191961925103701,0.6089151402168239,0.3187333371203899,0.27572123682418376,27.572123682418376,AMAN
