month,wisman,wisnus,usd_idr_avg,tpk_bintang,tpk_non_bintang,tpk_change_mom,tpk_ma3,lama_menginap_bintang,lama_menginap_non_bintang,inflasi_processed,indonesia_total,bali_share_pct,avg_sentiment_monthly,pct_negative_monthly,pct_positive_monthly,pct_neutral_monthly,wisman_growth_mom,wisnus_growth_mom,wisman_growth_yoy,wisman_ma3,wisman_ma6,wisman_zscore,is_anomaly,usd_volatility_3m,usd_change_mom,month_num,is_peak_season,is_covid_period,bali_share_change,wisman_precovid_mean,wisman_lag_1,wisman_lag_3,tpk_lag_1,sentiment_lag_1,wisman_trend_3m,sentiment_trend_3m,usd_trend_3m,is_postcovid,wisman_recovery_pct,crisis_component_tourism,crisis_component_economy,crisis_component_sentiment,gdelt_crisis_score,economic_risk_score,disaster_risk_score,external_risk_avg,external_risk_max,external_risk_range,crisis_score,crisis_score_100,crisis_level,physical_risk_score,media_risk_score,tourist_perception_score,external_risk_score
2021-09,0,298950.0,14249.09090909091,8.7,37.72,3.017999999999999,6.395333333333324,1.6780000000000002,2.38,1.6,1557530.0,0.0,0.4458583551783894,13.953488372093023,72.09302325581395,13.953488372093023,0.0107375937619189,0.4785817090119542,-1.0,0.0,3.0,-0.5794835789728946,0,121.16189527853712,-0.0088037125910195,9,0,1,0.0,501206.1666666667,0.0,1.0,5.682,0.5209082556622369,0.0,-0.1009977215790317,-121.12121212121,0,0.0,0.4367554764214519,0.4699126040744261,0.1945492591968802,0.4019954348744524,0.0,0.1563763145114858,0.381744985584192,0.96860819295083,0.96860819295083,0.4098220384447863,40.98220384447863,SIAGA,0.1563763145114858,0.4019954348744524,0.484304096475415,0.381744985584192
2021-10,2,468826.0,14177.55,18.072,37.72,9.372,10.81799999999999,3.258,2.38,1.66,1557530.0,0.0,0.5237385088747198,11.688311688311687,83.11688311688312,5.194805194805195,0.0107375937619189,0.5682421809667169,-0.9682539682539684,0.6666666666666666,1.8333333333333333,-0.4314893335380137,0,100.3152656748769,-0.0050207349751181,10,0,1,0.0,501206.1666666667,0.0,0.0,8.7,0.4458583551783894,1.0000000000000002,0.0014151266062416,-99.0499999999996,0,0.0,0.0431489333538013,0.4232193130957711,0.1653821683549261,0.4257502829608199,0.0,0.1160327936670967,0.3622127238408854,0.907067818735625,0.907067818735625,0.214202609886823,21.42026098868231,SIAGA,0.1160327936670967,0.4257502829608199,0.4535339093678125,0.3622127238408854
2021-11,6,513482.0,14262.636363636364,18.698,37.72,0.6260000000000012,15.156666666666656,2.238,2.38,1.75,1557530.0,0.0,0.5681703480390402,6.153846153846154,84.61538461538461,9.230769230769232,2.0,0.0952506900214578,-0.8867924528301887,2.6666666666666665,1.5,-0.2548498566571975,0,45.71883326102577,0.0060014857035499,11,0,1,0.0,501206.1666666667,2.0,0.0,18.072,0.5237385088747198,3.000000000000001,0.0611559964303254,6.7727272727256125,0,0.0,0.0254849856657197,0.4271147445626879,0.1232890073152689,0.4521520213607222,0.0,0.2061531907403377,0.3868365131328052,0.8890408404301611,0.8890408404301611,0.2079431330483338,20.79431330483338,SIAGA,0.2061531907403377,0.4521520213607222,0.44452042021508054,0.3868365131328052
2021-12,0,629590.0,14319.782608695652,23.844,37.72,5.146000000000001,20.204666666666657,1.956,2.38,1.87,1557530.0,0.0,0.5126093991597493,13.333333333333334,84.0,2.666666666666667,-1.0,0.2261189291932337,-1.0,2.6666666666666665,1.3333333333333333,-0.9454993211840867,0,71.57222177265491,0.0040067098117277,12,1,1,0.0,501206.1666666667,6.0,0.0,18.698,0.5681703480390402,-1.0,-0.0055645548574851,71.11630434782651,0,0.0,0.6945499321184087,0.4171172570086051,0.1774781201680501,0.3126288585431989,0.0,0.1851099768328558,0.3456070840538103,0.884689500839187,0.884689500839187,0.5036960125330022,50.36960125330023,SIAGA,0.1851099768328558,0.3126288585431989,0.4423447504195935,0.3456070840538103
2022-01,3,527447.0,14335.190476190475,20.646,37.72,-3.1980000000000004,21.062666666666654,1.84,2.38,2.18,5889031.0,36.61,0.5052522028193754,12.941176470588236,82.35294117647058,4.705882352941177,0.0107375937619189,-0.162237329055417,-0.7,3.0,1.8333333333333333,-0.1618333138929967,0,38.22563483855242,0.0010759847349544,1,0,0,36.61,501206.1666666667,0.0,2.0,23.844,0.5126093991597493,-1.4999999999999996,-0.0314590726098323,36.277056277054726,1,0.0,0.0161833313892996,0.3802854905977043,0.1765966182596543,0.4199962008905347,0.2048010844294228,0.1943121142086816,0.4211010895477283,0.8652949586622739,0.6709828444535924,0.204233751510122,20.423375151012205,SIAGA,0.1943121142086816,0.4199962008905347,0.5350480215458484,0.4211010895477283
2022-02,1310,389690.0,14345.777777777776,18.364,37.72,-2.282,20.951333333333324,1.7439999999999998,2.38,2.06,5889031.0,36.61,0.5018786859733088,14.814814814814811,79.62962962962963,5.555555555555555,435.6666666666667,-0.2611769523762577,108.16666666666669,437.6666666666667,220.16666666666663,3.175314044434616,0,13.07186642167874,0.0007385532550046,2,0,0,0.0,501206.1666666667,3.0,6.0,20.646,0.5052522028193754,655.0000000000002,-0.0053653565932202,12.997584541062734,1,0.26,0.0,0.3629232262493695,0.1885131516942271,0.4235152420335931,0.2048010844294228,0.186265648268947,0.4191455869259819,0.862000372971965,0.675734724703018,0.1934112391169614,19.341123911696148,SIAGA,0.186265648268947,0.4235152420335931,0.5334007287006939,0.4191455869259819
2022-03,14620,547726.0,14344.818181818182,23.488,37.72,5.123999999999999,20.832666666666658,1.822,2.38,2.64,5889031.0,36.61,0.5508509200243723,7.142857142857142,83.33333333333334,9.523809523809524,10.16030534351145,0.4055428674074264,4872.333333333333,5311.0,2656.833333333333,3.1627041133070137,0,5.855261084266827,-6.689047986507823e-05,3,0,0,0.0,501206.1666666667,1310.0,0.0,18.364,0.5018786859733088,7308.500000000001,0.0227993586024984,4.813852813855875,1,2.92,0.0,0.3248600801417846,0.1326869588522684,0.3606790947347881,0.2048010844294228,0.1517007752263901,0.3577312428246658,0.7137440169080624,0.5620432416816723,0.1660299644856061,16.602996448560614,SIAGA,0.1517007752263901,0.3606790947347881,0.4592725506687426,0.3577312428246658
2022-04,58335,500740.0,14373.052631578948,20.848,37.72,-2.640000000000001,20.899999999999988,1.848,2.38,3.47,5889031.0,36.61,0.5482921206182049,10.75268817204301,82.79569892473118,6.451612903225806,2.9900820793433653,-0.0857837677963069,6480.666666666667,24755.0,12379.0,3.077228592840266,0,16.031337159878785,0.0019682682208237,4,0,0,0.0,501206.1666666667,14620.0,3.0,23.488,0.5508509200243723,28512.500000000007,0.0232067173224481,13.637426900588595,1,11.64,0.0,0.3609220285583466,0.154857704908617,0.321214460168188,0.2048010844294228,0.1443725402211741,0.3262965922869365,0.6347982843289612,0.4904257441077871,0.1709755960878357,17.09755960878357,AMAN,0.1443725402211741,0.321214460168188,0.419799684379192,0.3262965922869365
2022-05,115611,960692.0,14616.466666666667,37.682,37.72,16.834000000000003,27.339333333333325,2.0620000000000003,2.38,3.55,5889031.0,36.61,0.4811712285237653,15.476190476190476,78.57142857142857,5.952380952380952,0.9818462329647724,0.9185445540599912,14450.375,62855.333333333336,31646.5,2.7991343125711423,0,149.35443077384315,0.0169354444965237,5,0,0,0.0,501206.1666666667,58335.0,1310.0,20.848,0.5482921206182049,50495.500000000015,-0.0348398457503034,135.82424242424287,1,23.07,0.0,0.5071470945135825,0.1966228971523898,0.375071027588772,0.2048010844294228,0.133216357298416,0.317017688287069,0.5549822838316654,0.4217659265332494,0.2098526010010484,20.98526010010484,AMAN,0.133216357298416,0.375071027588772,0.3798916841305441,0.317017688287069
2022-06,181625,753907.0,14699.142857142857,41.348,37.72,3.665999999999997,33.292666666666655,2.268,2.38,4.35,5889031.0,36.61,0.4164594200431791,18.803418803418804,75.21367521367522,5.982905982905983,0.5710010293138197,-0.21524588525771,181624.0,118523.66666666669,61917.333333333336,2.547700342336942,0,169.5192123609508,0.0056563732098631,6,0,0,0.0,501206.1666666667,115611.0,14620.0,37.682,0.4811712285237653,61645.00000000002,-0.0659163502875128,163.0451127819572,1,36.24,0.0,0.4436187459679426,0.229528628811877,0.2796134500549943,0.2048010844294228,0.1388618024255675,0.2781538887280245,0.4893392180021135,0.350477415576546,0.1894883271187782,18.948832711877827,AMAN,0.1388618024255675,0.2796134500549943,0.3470701512157681,0.2781538887280245
