date,avg_tone,article_count,risk_article_count
2020-02-01,-2.952416962057717,1085,13
2020-03-01,-2.249619109368146,1175,1
2020-04-01,-2.6035014377800767,676,12
2020-05-01,-2.128874315203277,778,5
2020-06-01,-2.8721767444109534,962,11
2020-07-01,-2.853526354383896,1243,17
2020-08-01,-1.5457500457746784,1112,9
2020-09-01,-3.009408321723803,559,10
2020-10-01,-2.489820790828145,413,0
2020-11-01,-2.9328843418559094,473,5
2020-12-01,-2.0941674756717323,463,8
2021-01-01,-4.943244806575932,1779,2
2021-02-01,-3.440588961054677,608,0
2021-03-01,-3.1802313323600258,777,2
2021-04-01,-2.310615923662329,1414,2
2021-05-01,-1.6126775850695931,552,1
2021-06-01,-0.8798276290723103,570,0
2021-07-01,-2.894051698410177,1024,2
2021-08-01,-3.1823544637776893,924,23
2021-09-01,-2.459744125957212,931,3
2021-10-01,-2.2315799163945043,1211,14
2021-11-01,-3.205238766493428,1089,8
2021-12-01,-0.45796756423473195,611,2
