date,inflasi_bali,month
2024-01-01,-0.07166666666666667,2024-01
2024-02-01,0.5666666666666667,2024-02
2024-03-01,0.8700000000000001,2024-03
2024-04-01,0.27,2024-04
2024-05-01,-0.12999999999999998,2024-05
2024-06-01,-0.5333333333333333,2024-06
2024-07-01,0.04333333333333333,2024-07
2024-08-01,0.056666666666666664,2024-08
2024-09-01,0.11166666666666665,2024-09
2024-10-01,0.06833333333333334,2024-10
2024-11-01,0.5399999999999999,2024-11
2024-12-01,0.35333333333333333,2024-12
