date,gdelt_crisis_score,economic_risk_score,trend_risk_score,disaster_risk_score,gdelt_crisis_score_ma3,disaster_risk_score_ma3,economic_risk_score_ma3,gdelt_crisis_score_slope3m,disaster_risk_score_slope3m,economic_risk_score_slope3m,gdelt_crisis_score_zscore,disaster_risk_score_zscore,external_risk_avg,external_risk_max,external_risk_range
2009-01-01,0.0753966650656452,0.5205591919771302,0.7864735500714863,0.089348567062079,0.0753966650656452,0.089348567062079,0.5205591919771302,,,,,,0.3679444935440852,0.7864735500714863,0.7110768850058411
2009-02-01,0.0971967121585549,0.5205591919771302,0.7386088145707714,0.0927016473135443,0.08629668861210005,0.09102510718781165,0.5205591919771302,,,,,,0.3622665915050002,0.7386088145707714,0.6459071672572272
2009-03-01,0.3219804669306175,0.5205591919771302,0.7021818859949027,0.0370397911317429,0.16485794805160586,0.07303000183578873,0.5205591919771302,0.12329190093248614,-0.02615438796516805,0.0,,,0.3954403340085983,0.7021818859949027,0.6651420948631598
2009-04-01,0.1950175081498602,0.5205591919771302,0.701311618076708,0.0263238092142292,0.20473156241301085,0.0520217492198388,0.5205591919771302,0.04891039799565265,-0.03318891904965755,0.0,,,0.3608030318544819,0.701311618076708,0.6749878088624789
2009-05-01,0.0394479697439374,0.5205591919771302,0.6519549947162306,0.0337001865927551,0.18548198160813834,0.0323545956462424,0.5205591919771302,-0.14126624859334003,-0.0016698022694938974,0.0,,,0.3114155857575133,0.6519549947162306,0.6182548081234756
2009-06-01,0.0758848894710881,0.5205591919771302,0.608068626841549,0.0210859450161951,0.1034501224549619,0.0270366469410598,0.5205591919771302,-0.05956630933938605,-0.0026189320990170507,0.0,-0.5497777456567938,-0.8974502109483209,0.3063996633264906,0.608068626841549,0.586982681825354
2009-07-01,0.0940315602664158,0.5205591919771302,0.5900416485360851,0.0359002071081429,0.0697881398271471,0.030228779572364372,0.5205591919771302,0.027291795261239205,0.0011000102576938994,0.0,-0.3511638720315962,-0.4048099075520216,0.31013315197194347,0.5900416485360851,0.5541414414279422
2009-08-01,0.0836260714468498,0.5205591919771302,0.6355442282588426,0.0302999213301042,0.08451417372811791,0.0290953578181474,0.5205591919771302,0.0038705909878808537,0.004606988156954551,0.0,-0.4258579256043226,-0.5456891332434174,0.3175073532532317,0.6355442282588426,0.6052443069287384
2009-09-01,0.1033561567391636,0.5205591919771302,0.7006899981351402,0.0463945967937614,0.0936712628174764,0.03753157507733617,0.5205591919771302,0.004662298236373895,0.00524719484280925,0.0,-0.20040968870870238,0.019891074616972194,0.34274998591129885,0.7006899981351402,0.6542954013413789
2009-10-01,0.0191961925103701,0.5205591919771302,0.6972710884565176,0.0379068755375418,0.06872614023212784,0.03820046455380247,0.5205591919771302,-0.03221493946823985,0.0038034771037188,0.0,-1.043643615661992,-0.2845130458677844,0.3187333371203899,0.6972710884565176,0.6780748959461476
