date,month,wisnus
2019-08-01,2019-08,925360.0
2019-09-01,2019-09,812003.0
2019-10-01,2019-10,853007.0
2019-11-01,2019-11,852626.0
2019-12-01,2019-12,1152901.0
2020-01-01,2020-01,879702.0
2020-02-01,2020-02,721105.0
2020-03-01,2020-03,567452.0
2020-04-01,2020-04,175120.0
2020-05-01,2020-05,101948.0
2020-06-01,2020-06,137395.0
2020-07-01,2020-07,229112.0
2020-08-01,2020-08,355732.0
2020-09-01,2020-09,283349.0
2020-10-01,2020-10,337304.0
2020-11-01,2020-11,425097.0
2020-12-01,2020-12,382841.0
2021-01-01,2021-01,282248.0
2021-02-01,2021-02,240608.0
2021-03-01,2021-03,305579.0
2021-04-01,2021-04,330593.0
2021-05-01,2021-05,363959.0
2021-06-01,2021-06,498852.0
2021-07-01,2021-07,166718.0
2021-08-01,2021-08,202187.0
2021-09-01,2021-09,298950.0
2021-10-01,2021-10,468826.0
2021-11-01,2021-11,513482.0
2021-12-01,2021-12,629590.0
2022-01-01,2022-01,527447.0
2022-02-01,2022-02,389690.0
2022-03-01,2022-03,547726.0
2022-04-01,2022-04,500740.0
2022-05-01,2022-05,960692.0
2022-06-01,2022-06,753907.0
2022-07-01,2022-07,784205.0
2022-08-01,2022-08,659567.0
2022-09-01,2022-09,622068.0
2022-10-01,2022-10,718066.0
2022-11-01,2022-11,657949.0
2022-12-01,2022-12,930917.0
2023-01-01,2023-01,720164.0
2023-02-01,2023-02,629282.0
2023-03-01,2023-03,665751.0
2023-04-01,2023-04,900880.0
2023-05-01,2023-05,943713.0
2023-06-01,2023-06,883793.0
2023-07-01,2023-07,898260.0
2023-08-01,2023-08,712860.0
2023-09-01,2023-09,755293.0
2023-10-01,2023-10,813745.0
2023-11-01,2023-11,749268.0
2023-12-01,2023-12,1204902.0
2024-01-01,2024-01,774529.0
2024-02-01,2024-02,726744.0
2024-03-01,2024-03,612742.0
2024-04-01,2024-04,1124781.0
2024-05-01,2024-05,852253.0
2024-06-01,2024-06,898335.0
2024-07-01,2024-07,926975.0
2024-08-01,2024-08,853713.0
2024-09-01,2024-09,856370.0
2024-10-01,2024-10,828647.0
2024-11-01,2024-11,724560.0
2024-12-01,2024-12,941137.0
2025-01-01,2025-01,902688.0
2025-02-01,2025-02,686283.0
2025-03-01,2025-03,633380.0
2025-04-01,2025-04,1127649.0
2025-05-01,2025-05,774930.0
2025-06-01,2025-06,902879.0
2025-07-01,2025-07,800121.0
2025-08-01,2025-08,770278.0
2025-09-01,2025-09,763690.0
2025-10-01,2025-10,652753.0
2025-11-01,2025-11,718679.0
2025-12-01,2025-12,879181.0
