date,gdelt_crisis_score,avg_tone,risk_ratio,trend_composite,trend_risk_score,trend_drop_flag,economic_index,economic_risk_score,eq_count,eq_max_magnitude,eq_seismic_energy,eq_risk_score,wx_precip_sum,wx_humidity_mean,bmkg_max_magnitude_30d,bmkg_seismic_energy,earthquake_count,earthquake_count_m5_plus,pvmbg_volcano_status,volcano_status_agung,volcano_status_batur,bmkg_extreme_weather_days,weather_max_rain,weather_max_wind_speed,weather_max_wind_gust,weather_max_temperature,eq_count_log,eq_m5plus_log,rain_log,disaster_risk_score
2009-01-01,0.07539666506564528,4.881555085742967,0.0036900369003690036,15.73913043478261,0.7864735500714863,0,1.4694684816648116,0.5205591919771302,6,5.1,163829098.13736707,0.013507831489492035,361.1,90.70967741935483,5.1,44668359.21509626,6,4,0,0,0,6,29.0,20.1,45.0,28.4,1.9459101490553132,1.6094379124341003,3.4011973816621555,0.08934856706207908
2009-02-01,0.09719671215855497,4.760496439573035,0.007712082262210797,17.41304347826087,0.7386088145707714,0,1.4694684816648116,0.5205591919771302,1,4.0,1000000.0,0.0,375.6,91.78571428571429,4.0,1000000.0,1,0,0,0,0,4,23.6,24.2,56.9,28.8,0.6931471805599453,0.0,3.202746442938317,0.09270164731354438
2009-03-01,0.3219804669306175,5.302634352971298,0.06885245901639345,18.686956521739134,0.7021818859949027,0,1.4694684816648116,0.5205591919771302,1,4.9,22387211.385683425,0.0002928573394257445,223.2,89.0,4.9,22387211.385683425,1,0,0,0,0,2,23.8,15.8,33.8,28.9,0.6931471805599453,0.0,3.2108436531709366,0.037039791131742904
2009-04-01,0.19501750814986024,4.192748371266925,0.025490196078431372,18.717391304347824,0.701311618076708,0,1.4694684816648116,0.5205591919771302,2,4.8,18667314.85587556,0.0024975595019608786,114.1,88.46666666666667,4.8,15848931.924611108,2,0,0,0,0,1,21.2,15.9,32.8,29.3,1.0986122886681096,0.0,3.100092288878234,0.02632380921422922
2009-05-01,0.03944796974393744,5.349025549104786,0.0,20.44347826086956,0.6519549947162306,0,1.4694684816648116,0.5205591919771302,1,4.6,7943282.347242805,9.507509690844575e-05,200.4,90.45161290322581,4.6,7943282.347242805,1,0,0,0,0,1,26.5,16.4,34.9,28.3,0.6931471805599453,0.0,3.3141860046725258,0.03370018659275519
2009-06-01,0.07588488947108815,4.534744850892329,0.0,21.97826086956522,0.608068626841549,0,1.4694684816648116,0.5205591919771302,6,5.5,266209069.43000278,0.014909731225860461,26.599999999999998,86.2,5.5,177827941.00389227,6,2,0,0,0,0,9.6,17.2,37.4,28.5,1.9459101490553132,1.0986122886681096,2.3608540011180215,0.02108594501619519
2009-07-01,0.09403156026641585,4.129208821060464,0.0,22.608695652173914,0.5900416485360851,0,1.4694684816648116,0.5205591919771302,11,5.9,855691261.021507,0.034259768487460894,48.4,82.87096774193549,5.9,707945784.3841403,11,3,0,0,0,0,13.7,20.5,41.4,28.2,2.4849066497880004,1.3862943611198906,2.6878474937846906,0.03590020710814294
2009-08-01,0.08362607144684989,4.604814876029191,0.0026702269692923898,21.017391304347825,0.6355442282588426,0,1.4694684816648116,0.5205591919771302,5,4.5,18566628.368508425,0.009263098084511454,13.8,80.6774193548387,4.5,5623413.251903491,5,0,0,0,0,0,2.3,21.6,46.1,29.2,1.791759469228055,0.0,1.1939224684724346,0.03029992133010421
2009-09-01,0.10335615673916365,4.111063484782685,0.0020898641588296763,18.73913043478261,0.7006899981351402,0,1.4694684816648116,0.5205591919771302,8,5.7,452976478.44548637,0.02197843523574628,107.9,82.56666666666666,5.7,354813389.23357606,8,2,0,0,0,1,27.0,18.1,40.0,29.8,2.1972245773362196,1.0986122886681096,3.332204510175204,0.04639459679376147
2009-10-01,0.01919619251037014,5.801605828373136,0.0,18.858695652173914,0.6972710884565176,0,1.4694684816648116,0.5205591919771302,3,5.6,288434833.00454444,0.008447153655547171,74.0,80.38709677419355,5.6,251188643.1509572,3,2,0,0,0,1,21.8,17.7,37.8,31.4,1.3862943611198906,1.0986122886681096,3.126760535960395,0.03790687553754182
2009-11-01,0.014094458232939002,6.230596235833883,0.0034602076124567475,19.782608695652172,0.6708522409398894,0,1.4694684816648116,0.5205591919771302,21,6.6,9150929924.132622,0.17040373668436734,98.2,81.6,6.6,7943282347.242789,21,4,1,0,1,0,14.2,17.7,39.2,31.4,3.091042453358316,1.6094379124341003,2.7212954278522306,0.19704879177506993
2009-12-01,0.12025255404233501,4.011244672707029,0.005141388174807198,17.58695652173913,0.7336358550382297,0,1.4694684816648116,0.5205591919771302,7,5.0,80471423.35035424,0.01462204516161114,129.6,85.09677419354838,5.0,31622776.60168379,8,1,1,0,1,0,17.2,17.6,38.5,30.4,2.1972245773362196,0.6931471805599453,2.9014215940827497,0.1269910008310394
2010-01-01,0.10668578697042137,4.855977498053343,0.011090573012939002,21.93913043478261,0.6091875427363711,0,5.627735386354515,0.01238697834695579,5,4.9,44049788.55652787,0.009612041682544955,313.4,90.61290322580645,4.9,22387211.385683425,5,0,1,0,1,3,26.2,18.9,44.6,29.7,1.791759469228055,0.0,3.3032169733019514,0.16532419429097325
