month,avg_sentiment,pct_positive,pct_negative,pct_neutral,review_count,avg_rating
2009-05,-0.6684309840202332,0.0,100.0,0.0,1,
2009-09,0.0,0.0,0.0,100.0,1,
2009-10,0.4701136350631714,100.0,0.0,0.0,1,
2009-12,-0.4972420036792755,0.0,100.0,0.0,1,
2010-01,0.3965566158294678,100.0,0.0,0.0,1,
2010-06,0.40738072991371155,50.0,0.0,50.0,2,
2011-01,0.8880601525306702,100.0,0.0,0.0,1,
2011-02,0.4975275993347168,100.0,0.0,0.0,1,4.0
2011-05,0.9067937731742859,100.0,0.0,0.0,1,
2011-08,0.5347232222557068,100.0,0.0,0.0,1,
2011-09,0.2052076905965805,50.0,0.0,50.0,2,3.0
2011-11,-0.5229447484016418,0.0,100.0,0.0,1,
2012-04,0.5890141576528549,100.0,0.0,0.0,2,5.0
2012-06,-0.5900372266769409,0.0,100.0,0.0,1,4.0
2012-11,-0.6587278246879578,0.0,100.0,0.0,1,3.0
2013-04,0.0,0.0,0.0,100.0,1,5.0
2013-05,0.7853827476501465,100.0,0.0,0.0,1,4.0
2013-06,0.8660472631454468,100.0,0.0,0.0,1,
2013-07,0.3466094732284546,50.0,0.0,50.0,2,5.0
2013-10,0.22408731281757355,50.0,0.0,50.0,2,4.0
2013-11,0.27891217172145844,50.0,50.0,0.0,2,5.0
2013-12,0.6383098512887955,100.0,0.0,0.0,4,5.0
2014-01,-0.05515855550765991,50.0,50.0,0.0,2,2.0
2014-02,0.2556949555873871,50.0,0.0,50.0,2,4.0
2014-03,0.6520368158817291,100.0,0.0,0.0,2,4.0
2014-04,0.5362119674682617,66.66666666666666,0.0,33.33333333333333,3,
2014-05,0.31054772933324176,66.66666666666666,33.33333333333333,0.0,3,
2014-06,0.22164944807688394,33.33333333333333,0.0,66.66666666666666,3,
2014-07,0.0,0.0,0.0,100.0,2,
2014-08,0.19309200048446656,60.0,40.0,0.0,5,
2014-09,0.6513188630342484,100.0,0.0,0.0,2,5.0
2014-10,0.5418799035251141,87.5,12.5,0.0,8,5.0
2014-11,0.4851920157670975,75.0,0.0,25.0,4,5.0
2015-01,0.827439934015274,100.0,0.0,0.0,2,5.0
2015-02,0.4469779133796692,100.0,0.0,0.0,1,3.0
2015-04,0.5191431283950806,80.0,0.0,20.0,5,4.333333333333333
2015-05,0.25598782300949097,66.66666666666666,33.33333333333333,0.0,3,3.6666666666666665
2015-06,0.4532014528910319,66.66666666666666,0.0,33.33333333333333,3,
2015-07,0.5551059792439142,83.33333333333334,16.666666666666664,0.0,6,4.5
2015-08,0.7079062610864639,100.0,0.0,0.0,6,4.0
2015-09,0.2378039558728536,66.66666666666666,33.33333333333333,0.0,3,3.0
2015-10,0.3215114275614421,66.66666666666666,0.0,33.33333333333333,3,
2015-11,0.1205003634095192,37.5,25.0,37.5,8,3.8333333333333335
2015-12,0.7109363334519523,100.0,0.0,0.0,7,4.666666666666667
2016-01,0.5901475846767426,88.88888888888889,11.11111111111111,0.0,9,4.6
2016-02,0.2858320862054825,70.0,20.0,10.0,10,4.5
2016-03,0.7727028727531433,100.0,0.0,0.0,3,5.0
