,0
wisman_growth_mom,0.2685917598945405
wisman_zscore,0.15755274616072507
wisman_growth_yoy,0.11608127491603004
wisman_trend_3m,0.08187821475474855
bali_share_pct,0.05261504727945787
tpk_bintang,0.04723058617264498
usd_volatility_3m,0.04044182580094367
wisman_lag_1,0.03706034782355015
wisman_recovery_pct,0.03496021213954733
usd_idr_avg,0.03151510505660071
inflasi_processed,0.030629631691335975
tpk_change_mom,0.02707668945408398
usd_change_mom,0.023039542839046686
month_num,0.017808906408246457
avg_sentiment_monthly,0.01640543357798978
wisman_lag_3,0.015863284878145322
is_peak_season,0.0012493911523629192
