country,date,gdp_growth,inflation_rate,unemployment_rate,composite_gdp_weighted
USA,2014-01-01,2.52381981363968,1.62222297740817,6.168,4.107968626496641
USA,2015-01-01,2.94555045484053,0.118627135552451,5.28,3.8766031523673528
USA,2016-01-01,1.81945147788167,1.26158320570536,4.869,3.882725130169828
USA,2017-01-01,2.45762229852507,2.13011000365961,4.355,4.006774804110054
USA,2018-01-01,2.96650506901305,2.44258329692817,3.896,3.6896152885749975
USA,2019-01-01,2.58382533412825,1.81221007526021,3.669,2.8523871144257584
USA,2020-01-01,-2.16302914036166,1.23358439630629,8.055,-2.4536953421055205
USA,2021-01-01,6.05505293244555,4.69785886363742,5.349,5.72909543857244
USA,2022-01-01,2.51237531986017,8.00279982052121,3.65,4.053251013030512
USA,2023-01-01,2.88755600749487,4.11633838374488,3.638,3.51206045721844
USA,2024-01-01,2.79300127716779,2.94952520485207,4.022,2.779712674375959
USA,2025-01-01,,,4.198,0.0
