time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,latitude,longitude,timezone,source,extreme_weather_score,extreme_weather_category,is_extreme_weather_day,extreme_weather_reason
2009-02-03,25.7,22.4,23.5,13.9,13.9,22.0,48.6,94,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-02-04,26.5,22.2,24.0,9.8,9.8,24.2,51.5,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-02-05,28.5,22.8,24.8,5.5,5.5,21.9,56.9,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-02-06,28.3,23.4,24.9,7.9,7.9,9.7,42.5,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-02-07,27.9,23.1,24.6,6.4,6.4,8.7,34.2,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-08,28.8,23.4,25.3,0.9,0.9,10.4,29.5,87,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-09,28.1,23.1,25.1,11.5,11.5,7.2,30.6,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-10,27.3,22.7,24.3,13.3,13.3,14.5,33.5,95,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-11,26.2,22.3,23.5,22.0,22.0,17.5,40.7,96,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,85,EXTREME,1,"Curah hujan sedang-tinggi, Hujan harian sedang, Hembusan angin kencang"
2009-02-12,24.6,22.4,23.2,18.1,18.1,23.8,47.2,96,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-02-13,26.5,22.2,23.8,11.9,11.9,20.9,43.2,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-02-14,27.8,22.6,24.8,1.4,1.4,18.4,44.6,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-02-15,28.4,23.0,24.7,15.1,15.1,11.0,31.0,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-16,27.3,22.5,23.8,23.5,23.5,6.1,28.8,95,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,55,HIGH,1,"Curah hujan sedang-tinggi, Hujan harian sedang"
2009-02-17,26.9,22.7,24.1,23.6,23.6,6.9,33.1,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,55,HIGH,1,"Curah hujan sedang-tinggi, Hujan harian sedang"
2009-02-18,27.1,22.0,24.4,15.5,15.5,11.9,34.6,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-19,27.5,22.6,24.4,11.6,11.6,12.8,31.0,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-20,27.9,22.9,24.4,14.4,14.4,10.4,30.2,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-21,27.4,22.5,24.1,10.7,10.7,9.5,28.4,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-22,27.1,22.2,24.1,15.1,15.1,12.4,30.2,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-23,27.0,22.7,24.3,13.7,13.7,10.3,28.4,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-24,28.4,22.3,24.4,15.6,15.6,9.1,31.3,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-25,26.8,22.3,23.9,19.4,19.4,7.6,25.6,94,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-26,27.9,22.4,24.3,14.6,14.6,14.0,32.0,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-27,27.9,23.2,24.8,10.5,10.5,16.3,34.2,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-02-28,28.5,22.9,24.7,16.8,16.8,10.5,30.6,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-01,27.1,23.1,24.4,22.1,22.1,8.5,24.1,95,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,55,HIGH,1,"Curah hujan sedang-tinggi, Hujan harian sedang"
2009-03-02,28.9,23.2,25.2,10.6,10.6,8.1,30.2,94,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-03,27.8,23.3,24.9,6.8,6.8,6.6,21.2,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-04,26.0,22.6,24.0,18.9,18.9,12.1,27.7,95,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-05,26.6,22.7,24.2,15.8,15.8,9.0,25.9,96,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-06,27.5,22.8,24.7,23.8,23.8,5.4,27.0,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,55,HIGH,1,"Curah hujan sedang-tinggi, Hujan harian sedang"
2009-03-07,27.6,22.9,24.7,6.4,6.4,10.2,24.5,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-08,28.3,22.6,24.7,3.8,3.8,9.9,27.7,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-09,28.9,22.8,25.0,3.4,3.4,11.3,29.2,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-10,27.9,22.7,24.5,6.7,6.7,11.1,31.7,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-11,27.7,22.7,24.7,4.2,4.2,9.7,27.0,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-12,27.6,21.9,24.9,0.2,0.2,10.2,23.0,82,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-13,28.2,22.6,24.6,3.0,3.0,12.6,29.5,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-14,28.8,21.1,24.7,0.0,0.0,10.4,25.9,80,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-15,28.2,22.2,24.7,1.0,1.0,12.9,29.2,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-16,28.7,22.7,25.1,0.9,0.9,15.8,33.1,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-17,27.6,23.3,24.7,8.7,8.7,12.0,33.8,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-18,27.7,22.5,25.0,4.1,4.1,5.0,31.0,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-19,28.9,23.0,25.1,14.6,14.6,4.5,28.8,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-20,28.4,23.0,25.0,10.0,10.0,6.5,24.5,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-21,28.7,23.1,25.0,5.6,5.6,8.7,28.4,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-22,28.1,22.6,24.7,6.5,6.5,10.7,31.0,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-23,27.9,21.9,24.4,4.5,4.5,9.6,30.2,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-24,28.2,22.7,25.0,0.1,0.1,9.9,25.2,84,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-25,28.3,22.9,25.1,3.6,3.6,11.2,26.6,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-26,28.9,22.9,25.3,1.2,1.2,12.8,31.7,87,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-27,27.8,23.1,24.7,3.0,3.0,13.4,29.9,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-28,27.5,22.8,24.6,8.1,8.1,10.8,29.5,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-29,28.3,22.3,24.5,9.0,9.0,9.7,27.4,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-30,28.1,22.2,24.6,5.9,5.9,8.8,27.7,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-03-31,28.4,23.1,24.9,10.7,10.7,10.5,31.3,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-01,28.2,23.2,24.8,12.6,12.6,8.2,26.6,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-02,28.9,23.3,25.1,7.6,7.6,7.2,26.6,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-03,27.5,23.4,24.8,21.2,21.2,8.4,24.1,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,55,HIGH,1,"Curah hujan sedang-tinggi, Hujan harian sedang"
2009-04-04,28.2,22.9,25.2,1.3,1.3,14.2,29.9,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-05,28.5,22.7,25.2,1.2,1.2,11.8,26.6,87,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-06,28.7,22.5,25.1,1.0,1.0,14.2,28.8,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-07,28.2,22.5,24.9,1.0,1.0,13.0,31.3,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-08,28.5,22.1,25.0,0.0,0.0,9.5,23.8,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-09,28.6,22.7,25.4,0.0,0.0,11.2,25.6,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
