,0
wisman_zscore,0.11964060994864843
wisman_growth_mom,0.11613315585431082
avg_sentiment_monthly,0.08823083077954834
wisman_recovery_pct,0.08191065125277408
wisman_trend_3m,0.07919997195632927
tpk_change_mom,0.06837500600463799
usd_volatility_3m,0.06772200142446
inflasi_processed,0.06742993044738689
wisman_lag_3,0.054273503475872446
usd_change_mom,0.05424685813599949
wisman_lag_1,0.04640508614920105
tpk_bintang,0.04183156562345238
wisman_growth_yoy,0.039928514114275025
usd_idr_avg,0.03823826851602106
bali_share_pct,0.021294760806125624
month_num,0.013443286497718636
is_peak_season,0.0016959990132383712
